name,comm_cost,complexity,type
explored-0,0.40946200663123933,78,explored
explored-1,0.9304968887677704,54,explored
explored-2,0.9661715946768407,21,explored
explored-3,0.9364384763621717,47,explored
explored-4,0.9585774628696008,25,explored
explored-5,0.30860244356633515,67,explored
explored-6,0.4625076645319526,64,explored
explored-7,0.2583004042330924,49,explored
explored-8,0.4736340100831177,38,explored
explored-9,0.8010869441794977,34,explored
explored-10,0.6604896216559931,33,explored
explored-11,0.9821082310522289,21,explored
explored-12,0.8853558235303023,125,explored
explored-13,0.6683471862651588,27,explored
explored-14,0.9033587682245537,51,explored
explored-15,0.8114132086744159,29,explored
explored-16,0.6176126483431634,163,explored
explored-17,0.8012899123404642,30,explored
explored-18,0.6375225204766015,69,explored
explored-19,0.5774361522780525,72,explored
explored-20,0.8013762092928192,34,explored
explored-21,0.6593508911944665,101,explored
explored-22,0.8829313712131535,37,explored
explored-23,0.5385497570059499,74,explored
explored-24,0.7541672344097743,35,explored
explored-25,0.4900054503338329,56,explored
explored-26,0.7206022618885406,34,explored
explored-27,0.4222191942589817,60,explored
explored-28,0.8341262812069461,68,explored
explored-29,0.30612708361720486,36,explored
explored-30,0.5739655720579553,74,explored
explored-31,0.6215248743196047,130,explored
explored-32,0.35436253803878814,51,explored
explored-33,0.25238830600596507,122,explored
explored-34,0.38099536721624205,96,explored
explored-35,0.6559057511503349,24,explored
explored-36,0.6507834854884862,60,explored
explored-37,0.5279329608938548,23,explored
explored-38,0.4693403582080512,98,explored
explored-39,0.5793790025889085,66,explored
explored-40,0.4403197907677401,129,explored
explored-41,0.7168178485456043,36,explored
explored-42,0.7911159558522959,33,explored
explored-43,0.598422863717863,59,explored
explored-44,0.926080658452235,45,explored
explored-45,0.647415308949578,50,explored
explored-46,0.746133669437253,63,explored
explored-47,0.6809056638052414,107,explored
explored-48,0.669088091020575,31,explored
explored-49,0.8132806467729482,30,explored
explored-50,0.47971333446193776,111,explored
explored-51,0.6075905631362779,82,explored
explored-52,0.3447676795203706,51,explored
explored-53,0.6549938683744378,53,explored
explored-54,0.916496343734387,17,explored
explored-55,0.8883265528585054,50,explored
explored-56,0.5856254569775405,85,explored
explored-57,0.8255590377132822,60,explored
explored-58,0.6372802834173592,30,explored
explored-59,0.5164929372757414,108,explored
explored-60,0.4234568742335467,62,explored
explored-61,0.9911432075214607,21,explored
explored-62,0.8558386701185448,45,explored
explored-63,0.9115145649484756,131,explored
explored-64,0.7578994902540344,69,explored
explored-65,0.9399116178820498,59,explored
explored-66,0.4892764681836762,48,explored
explored-67,0.9654244447472408,20,explored
explored-68,0.6847565841979251,81,explored
explored-69,0.7496215045949342,68,explored
explored-70,0.6684163968535136,108,explored
explored-71,0.26397783530907926,106,explored
explored-72,0.32661125493936505,57,explored
explored-73,0.9586796566289685,17,explored
explored-74,0.6875510968796839,67,explored
explored-75,0.47676795203706235,52,explored
explored-76,0.6055018092080362,42,explored
explored-77,0.8024253985556615,30,explored
explored-78,0.4025071535631557,19,explored
explored-79,0.8529545351319435,41,explored
explored-80,0.4234364354816733,106,explored
explored-81,0.90728160830088,62,explored
explored-82,0.6080150186976729,71,explored
explored-83,0.9338834764045965,31,explored
explored-84,0.6440751361551198,72,explored
explored-85,0.5265113321524276,35,explored
explored-86,0.7026015611313335,94,explored
explored-87,0.6272141981196349,55,explored
explored-88,0.5358813644002361,80,explored
explored-89,0.6453422355452605,58,explored
explored-90,0.41526093473225223,68,explored
explored-91,0.32083920001211186,91,explored
explored-92,0.9612247678741751,27,explored
explored-93,0.705057455602489,53,explored
explored-94,0.6364241268111005,110,explored
explored-95,0.5002159586639761,129,explored
explored-96,0.9397056819730208,22,explored
explored-97,0.2661352591179543,83,explored
explored-98,0.5711071414845771,124,explored
explored-99,0.6680746695735114,27,explored
explored-100,0.966616705273198,30,explored
explored-101,0.6522951961363189,138,explored
explored-102,0.5691965299541264,77,explored
explored-103,0.9330630876141164,28,explored
explored-104,0.7997002316391879,34,explored
explored-105,0.8789673888358995,113,explored
explored-106,0.6507633711612455,59,explored
explored-107,0.948216151155925,29,explored
explored-108,0.3644683653540446,64,explored
explored-109,0.8518879891512402,82,explored
explored-110,0.7766579720865046,86,explored
explored-111,0.5379593041740472,118,explored
explored-112,0.2480810282963164,88,explored
explored-113,0.2527478766407776,97,explored
explored-114,0.6537097366910694,54,explored
explored-115,0.8505874830987243,36,explored
explored-116,0.6450470091293092,26,explored
explored-117,0.8550097651814507,23,explored
explored-118,0.8702953021150324,72,explored
explored-119,0.49796975064722715,38,explored
explored-120,0.5748171867193532,74,explored
explored-121,0.45187647207677173,38,explored
explored-122,0.4273016305582049,100,explored
explored-123,0.7394572725271731,57,explored
explored-124,0.5742210564563747,69,explored
explored-125,0.8026297860743971,65,explored
explored-126,0.5930326565835491,113,explored
explored-127,0.682633349754211,24,explored
explored-128,0.29974565108779583,89,explored
explored-129,0.5108325384929826,33,explored
explored-130,0.8537250436351131,64,explored
explored-131,0.8876266067129945,22,explored
explored-132,0.5495526184312123,84,explored
explored-133,0.7982321353080312,56,explored
explored-134,0.9111079606934749,58,explored
explored-135,0.7849956851523823,45,explored
explored-136,0.7692039106145251,41,explored
explored-137,0.7537811690966072,60,explored
explored-138,0.7372939092519417,28,explored
explored-139,0.8882340918381251,41,explored
explored-140,0.6032557093328315,91,explored
explored-141,0.5405822773311533,13,explored
explored-142,0.9433080119907344,16,explored
explored-143,0.8618048391178246,46,explored
explored-144,0.9090471174372251,50,explored
explored-145,0.667562078653508,68,explored
explored-146,0.9407276195666985,22,explored
explored-147,0.8896943271108688,53,explored
explored-148,0.44315756006722085,49,explored
explored-149,0.626952874077823,65,explored
explored-150,0.5852068855884089,66,explored
explored-151,0.5587707019782234,69,explored
explored-152,0.7384975246400509,30,explored
explored-153,0.889508269583893,32,explored
explored-154,0.2833265204160421,103,explored
explored-155,0.654074124540128,30,explored
explored-156,0.32036608075577966,47,explored
explored-157,0.6641470227551438,57,explored
explored-158,0.6928985818650623,74,explored
explored-159,0.6828137967768708,88,explored
explored-160,0.7989770142652006,39,explored
explored-161,0.7755883969136796,90,explored
explored-162,0.4261441916095139,147,explored
explored-163,0.6241800167403111,48,explored
explored-164,0.3844665485761003,34,explored
explored-165,0.6840112186038061,74,explored
explored-166,0.5566335915753411,59,explored
