name,comm_cost,complexity,type
explored-0,0.9070625178064884,20,explored
explored-1,0.6781577871644638,28,explored
explored-2,0.8464481991188627,24,explored
explored-3,0.8603673676401569,14,explored
explored-4,0.8199743380115365,47,explored
explored-5,0.8784969987306459,14,explored
explored-6,0.7878736265778097,29,explored
explored-7,0.9280066255620657,11,explored
explored-8,0.7993766180678566,28,explored
explored-9,0.534299751627331,82,explored
explored-10,0.7429278133563458,48,explored
explored-11,0.9084940046327837,15,explored
explored-12,0.8031918517509198,20,explored
explored-13,0.7029779703057738,72,explored
explored-14,0.643003133941954,32,explored
explored-15,0.9729848904634297,18,explored
explored-16,0.9400122632511241,16,explored
explored-17,0.6815386973702139,58,explored
explored-18,0.8643918870177857,26,explored
explored-19,0.4650440568651497,60,explored
explored-20,0.9612567570441599,58,explored
explored-21,0.8437298924316059,29,explored
explored-22,0.9045329945576813,22,explored
explored-23,0.9831092877094972,19,explored
explored-24,0.8247164123177545,19,explored
explored-25,0.5747093155289095,56,explored
explored-26,0.6276400054503338,32,explored
explored-27,0.5890320547758551,44,explored
explored-28,0.9083877769092304,16,explored
explored-29,0.4222248716900576,80,explored
explored-30,0.7155465095153746,36,explored
explored-31,0.7516265840032701,39,explored
explored-32,0.6195255370849798,38,explored
explored-33,0.8821132867917572,24,explored
explored-34,0.7479570710511574,49,explored
explored-35,0.9739626873091922,16,explored
explored-36,0.8097877289626847,23,explored
explored-37,0.43599264204932564,82,explored
explored-38,0.6207192169687059,47,explored
explored-39,0.7617182177408366,24,explored
explored-40,0.8361152745605669,18,explored
explored-41,0.9225460520766421,26,explored
explored-42,0.8883087718930477,20,explored
explored-43,0.4835808693282464,48,explored
explored-44,0.9184001251558139,27,explored
explored-45,0.8191340782122905,20,explored
explored-46,0.880758309567806,24,explored
explored-47,0.8671168869509924,18,explored
explored-48,0.8080956038102788,29,explored
explored-49,0.43932245537539183,82,explored
explored-50,0.821419007660747,32,explored
explored-51,0.9393280856249084,93,explored
explored-52,0.78984660178857,34,explored
explored-53,0.7157378389426352,53,explored
explored-54,0.9770729645513156,13,explored
explored-55,0.5880945689694327,45,explored
